//X,Y,Z,R,G,B,C2C absolute distances (Z),C2C absolute distances,C2C absolute distances (X),C2C absolute distances (Y)
10812
0.5758374929,0.4252078831,0.1332657188,255,183,0,-0.00074428,0.00084189,0.00021750,0.00032789
0.5758362412,0.4464868009,0.1305375099,255,196,0,-0.00100249,0.00113229,-0.00045377,0.00026679
0.5758349299,0.4677656591,0.1275392920,255,212,0,0.00302929,0.00374750,0.00021493,0.00219566
0.5758331418,0.4890463054,0.1291710734,255,204,0,0.00812107,0.01115576,0.00755316,-0.00120369
0.5758312941,0.5103172064,0.1314728707,255,192,0,0.00449286,0.00750268,0.00288129,-0.00527281
0.5758293867,0.5315983891,0.1344646662,255,176,0,0.00286466,0.00307095,0.00087941,-0.00067163
0.5758278966,0.5528780222,0.1336164474,255,180,0,-0.00004356,0.00022127,0.00020790,-0.00006199
0.5758262873,0.5741580725,0.1336282343,255,180,0,0.00008823,0.00026027,0.00020629,-0.00013191
0.5758250952,0.5954366922,0.1301500201,255,198,0,0.00035001,0.00044938,0.00020510,-0.00019330
0.5758240819,0.6167044044,0.1241418123,255,229,0,-0.00007819,0.00035175,0.00020409,-0.00027561
0.5758227706,0.6379835010,0.1218336001,255,242,0,0.00023360,0.00045710,0.00020278,-0.00033653
0.5758209825,0.6592640877,0.1233653948,255,234,0,0.00004540,0.00033498,0.00020099,0.00026411
0.5758190751,0.6805453897,0.1266971827,255,216,0,0.00001718,0.00028656,0.00019908,0.00020540
0.5758175850,0.7018249035,0.1254189610,255,222,0,-0.00023104,0.00033678,0.00019759,0.00014490
0.5758163929,0.7230936885,0.1221407577,255,240,0,0.00175076,0.00186315,0.00019640,-0.00060630
0.5758163333,0.7443677783,0.1069225520,190,255,0,0.00047255,0.00051172,0.00019634,-0.00000221
0.5758147240,0.7656478882,0.1071923301,192,255,0,0.00080233,0.00110348,0.00019473,-0.00073212
0.5758116841,0.7869330049,0.1205411255,255,248,0,-0.00074887,0.00078338,0.00019169,-0.00012702
0.5758097768,0.8082141876,0.1236479133,255,231,0,-0.00026209,0.00037313,0.00018978,-0.00018579
0.5758084655,0.8294833899,0.1214497015,255,243,0,-0.00095030,0.00100482,0.00018847,-0.00026661
0.5758071542,0.8507622480,0.1184014902,250,255,0,0.00238149,0.00353364,-0.00115287,0.00234222
0.5758054256,0.8720427155,0.1196322814,255,252,0,0.00893229,0.01543432,-0.01248455,0.00160271
0.5758031607,0.8933251500,0.1260550618,255,219,0,0.00324506,0.00822580,0.00485319,-0.00579482
0.5758008957,0.9146076441,0.1324768513,255,186,0,0.00141685,0.00151746,0.00018090,-0.00051236
0.5757990479,0.9358786941,0.1351086497,255,171,0,-0.00047135,0.00051032,0.00017905,0.00007868
0.5757972598,0.9571592212,0.1364204288,255,165,0,0.00023043,0.00029087,0.00017726,0.00000924
0.5757955909,0.9784394503,0.1371622235,255,161,0,-0.00004777,0.00018887,0.00017560,-0.00005054
0.5757944584,0.9997177124,0.1326040030,255,185,0,0.00064400,0.00067660,0.00017446,-0.00011230
0.5757926702,1.0210286379,0.1347557902,255,174,0,-0.00011420,0.00026871,0.00017267,-0.00017130
0.5757910013,1.0422289371,0.1355976015,255,169,0,0.00013760,0.00039541,0.00017101,0.00032890
0.5757895112,1.0635284185,0.1339993775,255,177,0,-0.00101063,0.00141210,0.00016952,-0.00097156
0.5757883787,1.0848265886,0.1296111643,255,200,0,-0.00075884,0.00086232,0.00016838,-0.00037336
0.5757886767,1.1061198711,0.1122159511,219,255,0,-0.00564405,0.00622172,0.00083870,-0.00248015
0.5757871270,1.1274197102,0.1114337221,214,255,0,0.00120372,0.00154069,-0.00050288,0.00081968
0.5757849813,1.1486216784,0.1168435439,243,255,0,0.00176354,0.00277865,0.00083500,-0.00197828
0.5757829547,1.1699233055,0.1207063273,255,246,0,0.00014633,0.00022026,0.00016296,0.00002337
0.5757812858,1.1912236214,0.1216201037,255,242,0,0.00010011,0.00020463,0.00016129,-0.00007641
0.5757800937,1.2125220299,0.1177518815,248,255,0,0.00046188,0.00049502,0.00016010,-0.00007796
0.5757791996,1.2337194681,0.1107947007,211,255,0,0.00020470,0.00069196,-0.00051081,0.00041950
0.5757762790,1.2550241947,0.1231154799,255,234,0,0.00465548,0.00779427,0.00282627,-0.00557578
0.5757734179,1.2763288021,0.1354272664,255,169,0,0.00147727,0.00177457,0.00015342,-0.00097120
0.5757711530,1.2976316214,0.1422890425,255,133,0,0.00007904,0.00040593,0.00015116,-0.00036836
0.5757691264,1.3189328909,0.1458308250,255,115,0,0.00051083,0.00058090,0.00014913,0.00023293
0.5757678747,1.3401317596,0.1425226331,255,133,0,-0.00010736,0.00022527,0.00014788,0.00013173
0.5757688284,1.3614223003,0.1182874218,251,255,0,-0.00010258,0.00159099,0.00147885,-0.00057769
0.5757677555,1.3827205896,0.1138902083,228,255,0,0.00249021,0.00262113,0.00081778,0.00002062
0.5757662058,1.4040203094,0.1131329834,224,255,0,-0.00082701,0.00097915,-0.00052381,0.00002027
0.5757641196,1.4252221584,0.1178487986,249,255,0,-0.00124120,0.00144560,-0.00052589,0.00052214
0.5757624507,1.4465223551,0.1181235835,250,255,0,-0.00023641,0.00032823,0.00014246,-0.00017762
0.5757611394,1.4678212404,0.1155673638,237,255,0,-0.00015263,0.00034770,0.00014114,-0.00027871
0.5757601261,1.4891191721,0.1100641415,208,255,0,0.00028414,0.00042338,0.00014013,-0.00028086
0.5757586360,1.5104187727,0.1088029295,201,255,0,-0.00017707,0.00039011,0.00013864,0.00031877
